X,Y,Temperature
0,0,30.12
0,1,30.15
0,2,30.19
0,3,30.23
0,4,30.29
0,5,30.36
0,6,30.43
0,7,30.52
0,8,30.62
0,9,30.73
0,10,30.86
0,11,30.99
0,12,31.13
0,13,31.28
0,14,31.44
0,15,31.60
0,16,31.76
0,17,31.91
0,18,32.06
0,19,32.20
0,20,32.33
0,21,32.43
0,22,32.52
0,23,32.58
0,24,32.62
0,25,32.64
0,26,32.62
0,27,32.58
0,28,32.52
0,29,32.43
0,30,32.33
0,31,32.20
0,32,32.06
0,33,31.91
0,34,31.76
0,35,31.60
0,36,31.44
0,37,31.28
0,38,31.13
0,39,30.99
0,40,30.86
0,41,30.73
0,42,30.62
0,43,30.52
0,44,30.43
0,45,30.36
0,46,30.29
0,47,30.23
0,48,30.19
0,49,30.15
1,0,30.15
1,1,30.19
1,2,30.24
1,3,30.30
1,4,30.37
1,5,30.46
1,6,30.55
1,7,30.67
1,8,30.79
1,9,30.94
1,10,31.09
1,11,31.26
1,12,31.45
1,13,31.64
1,14,31.84
1,15,32.04
1,16,32.25
1,17,32.45
1,18,32.64
1,19,32.81
1,20,32.97
1,21,33.11
1,22,33.22
1,23,33.30
1,24,33.35
1,25,33.37
1,26,33.35
1,27,33.30
1,28,33.22
1,29,33.11
1,30,32.97
1,31,32.81
1,32,32.64
1,33,32.45
1,34,32.25
1,35,32.04
1,36,31.84
1,37,31.64
1,38,31.45
1,39,31.26
1,40,31.09
1,41,30.94
1,42,30.79
1,43,30.67
1,44,30.55
1,45,30.46
1,46,30.37
1,47,30.30
1,48,30.24
1,49,30.19
2,0,30.19
2,1,30.24
2,2,30.30
2,3,30.38
2,4,30.47
2,5,30.58
2,6,30.70
2,7,30.84
2,8,31.00
2,9,31.18
2,10,31.38
2,11,31.60
2,12,31.83
2,13,32.07
2,14,32.33
2,15,32.58
2,16,32.84
2,17,33.09
2,18,33.33
2,19,33.56
2,20,33.76
2,21,33.93
2,22,34.07
2,23,34.18
2,24,34.24
2,25,34.26
2,26,34.24
2,27,34.18
2,28,34.07
2,29,33.93
2,30,33.76
2,31,33.56
2,32,33.33
2,33,33.09
2,34,32.84
2,35,32.58
2,36,32.33
2,37,32.07
2,38,31.83
2,39,31.60
2,40,31.38
2,41,31.18
2,42,31.00
2,43,30.84
2,44,30.70
2,45,30.58
2,46,30.47
2,47,30.38
2,48,30.30
2,49,30.24
3,0,30.23
3,1,30.30
3,2,30.38
3,3,30.47
3,4,30.59
3,5,30.72
3,6,30.88
3,7,31.06
3,8,31.26
3,9,31.48
3,10,31.73
3,11,32.00
3,12,32.29
3,13,32.60
3,14,32.91
3,15,33.24
3,16,33.56
3,17,33.87
3,18,34.18
3,19,34.46
3,20,34.71
3,21,34.93
3,22,35.10
3,23,35.23
3,24,35.31
3,25,35.34
3,26,35.31
3,27,35.23
3,28,35.10
3,29,34.93
3,30,34.71
3,31,34.46
3,32,34.18
3,33,33.87
3,34,33.56
3,35,33.24
3,36,32.91
3,37,32.60
3,38,32.29
3,39,32.00
3,40,31.73
3,41,31.48
3,42,31.26
3,43,31.06
3,44,30.88
3,45,30.72
3,46,30.59
3,47,30.47
3,48,30.38
3,49,30.30
4,0,30.29
4,1,30.37
4,2,30.47
4,3,30.59
4,4,30.73
4,5,30.90
4,6,31.09
4,7,31.31
4,8,31.56
4,9,31.84
4,10,32.15
4,11,32.48
4,12,32.84
4,13,33.22
4,14,33.61
4,15,34.01
4,16,34.41
4,17,34.80
4,18,35.18
4,19,35.53
4,20,35.84
4,21,36.11
4,22,36.32
4,23,36.48
4,24,36.58
4,25,36.62
4,26,36.58
4,27,36.48
4,28,36.32
4,29,36.11
4,30,35.84
