X,Y,Temperature
0,0,40.01
1,0,40.01
2,0,40.02
3,0,40.03
4,0,40.04
5,0,40.06
6,0,40.09
7,0,40.13
8,0,40.18
9,0,40.24
10,0,40.32
11,0,40.43
12,0,40.57
13,0,40.74
14,0,40.94
15,0,41.19
16,0,41.48
17,0,41.82
18,0,42.21
19,0,42.65
20,0,43.13
21,0,43.64
22,0,44.19
23,0,44.76
24,0,45.33
25,0,45.89
26,0,46.42
27,0,46.91
28,0,47.34
29,0,47.69
30,0,47.95
31,0,48.11
32,0,48.17
33,0,48.11
34,0,47.95
35,0,47.69
36,0,47.34
37,0,46.91
38,0,46.42
39,0,45.89
40,0,45.33
41,0,44.76
42,0,44.19
43,0,43.64
44,0,43.13
45,0,42.65
46,0,42.21
47,0,41.82
48,0,41.48
49,0,41.19
50,0,40.94
51,0,40.74
52,0,40.57
53,0,40.43
54,0,40.32
55,0,40.24
56,0,40.18
57,0,40.13
58,0,40.09
59,0,40.06
60,0,40.04
61,0,40.03
62,0,40.02
63,0,40.01
64,0,40.01
65,0,40.01
66,0,40.00
67,0,40.00
68,0,40.00
69,0,40.00
70,0,40.00
71,0,40.00
72,0,40.00
73,0,40.00
74,0,40.00
75,0,40.00
76,0,40.00
77,0,40.00
78,0,40.00
79,0,40.00
80,0,40.00
81,0,40.00
82,0,40.00
83,0,40.00
84,0,40.00
85,0,40.00
86,0,40.00
87,0,40.00
88,0,40.00
89,0,40.00
90,0,40.00
91,0,40.00
92,0,40.00
93,0,40.00
94,0,40.00
95,0,40.00
96,0,40.00
97,0,40.00
98,0,40.00
99,0,40.00
100,0,40.00
101,0,40.00
102,0,40.00
103,0,40.00
104,0,40.00
105,0,40.00
106,0,40.00
107,0,40.00
108,0,40.00
109,0,40.00
110,0,40.00
111,0,40.00
112,0,40.00
113,0,40.00
114,0,40.00
115,0,40.00
116,0,40.00
117,0,40.00
118,0,40.00
119,0,40.00
120,0,40.00
121,0,40.00
122,0,40.00
123,0,40.00
124,0,40.00
125,0,40.00
126,0,40.00
127,0,40.00
0,1,40.01
1,1,40.02
2,1,40.02
3,1,40.04
4,1,40.05
5,1,40.08
6,1,40.11
7,1,40.16
8,1,40.22
9,1,40.30
10,1,40.40
11,1,40.53
12,1,40.70
13,1,40.90
14,1,41.16
15,1,41.46
16,1,41.82
17,1,42.24
18,1,42.72
19,1,43.25
20,1,43.84
21,1,44.48
22,1,45.16
23,1,45.85
24,1,46.55
25,1,47.24
26,1,47.90
27,1,48.50
28,1,49.02
29,1,49.46
30,1,49.78
31,1,49.97
32,1,50.04
33,1,49.97
34,1,49.78
35,1,49.46
36,1,49.02
37,1,48.50
38,1,47.90
39,1,47.24
40,1,46.55
41,1,45.85
42,1,45.16
43,1,44.48
44,1,43.84
45,1,43.25
46,1,42.72
47,1,42.24
48,1,41.82
49,1,41.46
50,1,41.16
51,1,40.90
52,1,40.70
53,1,40.53
54,1,40.40
55,1,40.30
56,1,40.22
57,1,40.16
58,1,40.11
59,1,40.08
60,1,40.05
61,1,40.04
62,1,40.02
63,1,40.02
64,1,40.01
65,1,40.01
66,1,40.00
67,1,40.00
68,1,40.00
69,1,40.00
70,1,40.00
71,1,40.00
72,1,40.00
73,1,40.00
74,1,40.00
75,1,40.00
76,1,40.00
77,1,40.00
78,1,40.00
79,1,40.00
80,1,40.00
81,1,40.00
82,1,40.00
83,1,40.00
84,1,40.00
85,1,40.00
86,1,40.00
87,1,40.00
88,1,40.00
89,1,40.00
90,1,40.00
91,1,40.00
92,1,40.00
93,1,40.00
94,1,40.00
95,1,40.00
96,1,40.00
97,1,40.00
98,1,40.00
99,1,40.00
100,1,40.00
101,1,40.00
102,1,40.00
103,1,40.00
104,1,40.00
105,1,40.00
106,1,40.00
107,1,40.00
108,1,40.00
109,1,40.00
110,1,40.00
111,1,40.00
112,1,40.00
113,1,40.00
114,1,40.00
115,1,40.00
116,1,40.00
117,1,40.00
118,1,40.00
119,1,40.00
120,1,40.00
121,1,40.00
122,1,40.00
123,1,40.00
124,1,40.00
125,1,40.00
126,1,40.00
127,1,40.00
0,2,40.01
1,2,40.02
2,2,40.03
3,2,40.04
4,2,40.07
5,2,40.09
6,2,40.13
7,2,40.19
8,2,40.26
9,2,40.36
10,2,40.48
11,2,40.64
12,2,40.85
13,2,41.10
14,2,41.40
15,2,41.77
16,2,42.21
17,2,42.72
18,2,43.30
19,2,43.95
20,2,44.66
21,2,45.44
22,2,46.25
23,2,47.10
24,2,47.95
25,2,48.79
26,2,49.58
27,2,50.31
28,2,50.95
29,2,51.47
30,2,51.86
31,2,52.10
32,2,52.18
33,2,52.10
34,2,51.86
35,2,51.47
36,2,50.95
37,2,50.31
38,2,49.58
39,2,48.79
40,2,47.95
41,2,47.10
42,2,46.25
43,2,45.44
44,2,44.66
45,2,43.95
46,2,43.30
47,2,42.72
48,2,42.21
49,2,41.77
50,2,41.40
51,2,41.10
52,2,40.85
53,2,40.64
54,2,40.48
55,2,40.36
56,2,40.26
57,2,40.19
58,2,40.13
59,2,40.09
60,2,40.07
61,2,40.04
62,2,40.03
63,2,40.02
64,2,40.01
65,2,40.01
66,2,40.01
67,2,40.00
68,2,40.00
69,2,40.00
70,2,40.00
71,2,40.00
72,2,40.00
73,2,40.00
74,2,40.00
75,2,40.00
76,2,40.00
77,2,40.00
78,2,40.00
79,2,40.00
80,2,40.00
81,2,40.00
82,2,40.00
83,2,40.00
84,2,40.00
85,2,40.00
86,2,40.00
87,2,40.00
88,2,40.00
89,2,40.00
90,2,40.00
91,2,40.00
92,2,40.00
93,2,40.00
94,2,40.00
95,2,40.00
96,2,40.00
97,2,40.00
98,2,40.00
99,2,40.00
100,2,40.00
101,2,40.00
102,2,40.00
103,2,40.00
104,2,40.00
105,2,40.00
106,2,40.00
107,2,40.00
108,2,40.00
109,2,40.00
110,2,40.00
111,2,40.00
112,2,40.00
113,2,40.00
114,2,40.00
115,2,40.00
116,2,40.00
